P,q,M1,logM1,M2,logM2,R1,logR1,R2,logR2,L1,logL1,L2,logL2,T1,logT1,T2,logT2,Type
0.3166,0.0787,1.246,0.095518042,0.098,-1.008773924,1.347,0.129367596,0.409,-0.388276692,2.59,0.413299764,0.213,-0.671620397,8510.137503,3.929936577,2511.217871,3.399884393,EW
0.217629,0.678,0.62,-0.207608311,0.42,-0.37675071,0.73,-0.13667714,0.64,-0.193820026,0.11,-0.958607315,0.024,-1.619788758,3812,3.581152892,3135,3.496237545,EW
0.2968,0.172,1.109,0.044931546,0.192,-0.716698771,1.148,0.059941888,0.507,-0.294992041,1.48,0.170261715,0.34,-0.468521083,6830.684264,3.834464211,3142.690027,3.497301547,EW
0.3352,0.106,1.442,0.15896526,0.155,-0.809668302,1.521,0.182129214,0.561,-0.251037139,2.924,0.465977368,0.401,-0.396855627,9321.521112,3.969486788,3445.048673,3.537195362,EW
0.3826,0.147,1.279,0.106870544,0.179,-0.747146969,1.435,0.156851901,0.583,-0.234331445,2.55,0.40654018,0.41,-0.387216143,8749.612792,3.941988834,3531.490806,3.54795808,EW
0.347,0.106,1.376,0.138618434,0.168,-0.774690718,1.49,0.173186268,0.55,-0.259637311,2.806,0.448087667,0.493,-0.307153081,9131.516103,3.960542889,3591.872506,3.555320913,EW
0.39,0.382,0.82,-0.086186148,0.31,-0.508638306,1.1,0.041392685,0.71,-0.148741651,1.02,0.008600172,0.31,-0.508638306,6092.201005,3.784774224,3634.104707,3.560397436,EW
0.22884,0.81,0.64,-0.193820026,0.52,-0.283996656,0.7,-0.15490196,0.64,-0.193820026,0.105,-0.978810701,0.067,-1.173925197,3942,3.59571662,3692,3.567261692,EW
0.22396,0.51,0.79,-0.102372909,0.32,-0.494850022,0.86,-0.065501549,0.45,-0.346787486,0.389,-0.410050399,0.369,-0.432973634,4830,3.683947131,3700,3.568201724,EW
0.3661,0.145,1.352,0.130976692,0.183,-0.73754891,1.469,0.167021796,0.617,-0.209714836,2.836,0.452706227,0.493,-0.307153081,9091.076095,3.958615293,3804.364761,3.58028215,EW
